,domain_interaction,count
357,3.40.50.1860:major_partner-3.40.50.1860:partner,48
358,3.30.230.40:major_partner-3.30.230.40:partner-3.30.230.40:partner,48
359,1.10.150.20:major_partner-3.30.70.370:partner,48
360,3.10.310.10:major_partner-3.10.310.10:partner,48
361,3.40.50.1100:major_partner-3.40.50.1100:partner,47
362,3.40.605.10:major_partner-3.40.605.10:partner,47
363,2.40.40.20:partner-3.40.228.10:major_partner,46
364,1.20.5.100:major_partner-1.20.5.270:partner,46
368,2.30.110.10:major_partner-2.30.110.10:partner,45
369,3.40.50.10830:partner-3.40.50.10830:partner-6.10.140.120:major_partner,45
370,2.40.30.90:partner-3.40.50.10790:major_partner,45
371,3.50.50.60:major_partner-3.90.660.10:partner,44
375,3.10.180.10:major_partner-3.10.180.10:partner,44
377,3.30.60.20:partner-3.40.50.300:major_partner,44
380,1.20.840.10:major_partner-1.20.840.10:partner,43
381,3.40.50.2020:major_partner-3.40.50.2020:partner,43
385,3.30.479.10:major_partner-3.30.479.10:partner,42
389,1.20.1090.10:partner-3.40.50.1970:major_partner,42
390,3.40.50.720:partner-3.90.180.10:major_partner,42
392,3.40.140.10:major_partner-3.40.140.10:partner,42
396,3.20.10.10:major_partner-3.30.470.10:partner,41
397,3.90.550.10:major_partner-3.90.550.10:partner,41
401,1.20.5.100:partner-3.40.50.720:major_partner-3.40.50.720:partner,40
403,1.10.230.10:major_partner-1.10.580.10:partner,39
405,3.40.1010.20:partner-3.40.1010.20:partner-3.40.50.11270:partner,39
409,3.30.200.20:major_partner-3.90.1200.10:partner,39
412,1.10.780.10:partner-1.20.850.10:major_partner,38
413,3.30.1330.160:partner-3.30.1330.170:partner-3.30.1330.180:partner,38
415,3.30.1300.10:partner-3.40.50.620:major_partner,38
416,1.10.10.1140:partner-3.40.50.620:partner-3.40.50.620:partner,38
419,1.10.1610.10:partner-3.40.50.10210:major_partner,38
422,3.90.470.20:major_partner-3.90.470.20:partner,37
423,3.30.200.20:major_partner-3.30.470.20:partner,37
424,3.20.20.60:partner-3.40.1380.20:major_partner,37
436,1.10.3210.10:partner-1.10.3210.10:partner-1.10.3210.10:partner,35
438,3.40.50.10380:major_partner-3.40.50.720:partner,35
441,1.10.1130.10:major_partner-1.10.287.3080:major_partner,34
443,6.10.240.10:major_partner-6.10.240.10:partner,34
445,1.10.287.90:partner-1.20.210.10:major_partner,34
446,3.30.230.40:major_partner-3.30.230.40:major_partner,34
457,2.60.120.10:major_partner-2.60.120.10:partner,33
462,3.90.110.10:major_partner-3.90.110.10:partner,32
463,1.20.140.10:partner-2.40.110.10:major_partner,32
464,3.30.9.30:partner-3.50.50.60:major_partner,32
467,3.40.910.10:major_partner-3.40.910.10:partner,32
471,3.30.9.10:major_partner-3.40.50.720:partner,32
473,3.90.226.10:major_partner-3.90.226.10:partner,31
476,3.40.640.10:partner-3.40.640.10:partner-3.90.1150.10:partner,31
479,1.10.400.10:partner-3.40.50.300:major_partner,30
482,3.30.230.10:major_partner-3.30.70.890:partner,30
484,2.102.10.10:major_partner-3.10.450.50:partner,30
485,1.10.40.40:major_partner-3.40.50.1000:partner,30
492,1.20.82.10:partner-3.40.50.720:major_partner,29
496,1.10.1140.10:partner-3.40.50.300:major_partner,28
498,3.30.300.10:major_partner-3.30.300.10:partner-3.30.300.10:partner,28
501,1.10.287.70:major_partner-1.10.287.70:partner,28
502,3.40.50.450:major_partner-3.40.50.450:partner,28
504,3.10.10.10:partner-3.30.70.270:major_partner,27
506,1.10.3270.10:major_partner-3.90.770.10:partner,27
507,2.70.98.20:major_partner-3.10.450.40:partner,27
508,3.40.50.12470:partner-3.40.50.970:major_partner,27
509,1.10.1040.10:major_partner-3.40.50.720:partner,27
510,3.30.70.270:major_partner-3.40.1170.60:partner,27
512,3.40.50.10490:major_partner-3.40.50.10490:partner,27
514,3.30.300.30:partner-3.40.50.12780:major_partner,26
515,1.20.810.10:major_partner-1.20.810.10:partner,26
518,3.30.420.150:major_partner-3.30.420.40:partner,26
521,3.30.420.10:major_partner-3.30.70.270:partner,26
522,1.10.275.10:partner-1.20.200.10:major_partner,26
523,3.40.50.1820:major_partner-3.40.50.1820:partner,26
526,2.130.10.10:partner-2.60.30.10:major_partner,25
527,3.30.559.10:major_partner-3.30.559.10:partner,25
528,3.30.800.10:major_partner-3.30.810.10:partner,25
529,3.40.50.620:major_partner-3.90.1260.10:partner,25
530,1.10.1410.30:partner-3.30.460.10:major_partner,25
532,1.10.420.10:partner-1.10.520.10:major_partner,25
534,3.30.60.20:major_partner-3.40.50.300:partner,25
536,2.130.10.10:major_partner-2.60.30.10:partner,24
537,1.10.3730.10:partner-3.40.50.720:major_partner,24
